Year,Dimension,Municipio,GeoCode,Value
2019,valor municipio,Loja,18122.0,447.29
2019,valor municipio,Lugros,18123.0,63.23
2019,valor municipio,Lújar,18124.0,36.83
2019,valor municipio,Malahá (La),18126.0,25.41
2019,valor municipio,Maracena,18127.0,4.89
2019,valor municipio,Marchal,18128.0,7.8
2019,valor municipio,Moclín,18132.0,113.04
2019,valor municipio,Molvízar,18133.0,21.45
2019,valor municipio,Monachil,18134.0,88.85
2019,valor municipio,Montefrío,18135.0,253.77
2019,valor municipio,Montejícar,18136.0,87.51
2019,valor municipio,Montillana,18137.0,75.12
2019,valor municipio,Moraleda de Zafayona,18138.0,48.14
2019,valor municipio,Morelábor,18909.0,38.62
2019,valor municipio,Motril,18140.0,102.95
2019,valor municipio,Murtas,18141.0,71.64
2019,valor municipio,Nevada,18903.0,77.25
2019,valor municipio,Nigüelas,18143.0,30.9
2019,valor municipio,Nívar,18144.0,11.17
2019,valor municipio,Ogíjares,18145.0,6.9
2019,valor municipio,Orce,18146.0,324.42
2019,valor municipio,Órgiva,18147.0,134.04
2019,valor municipio,Otívar,18148.0,57.43
2019,valor municipio,Padul,18150.0,89.09
2019,valor municipio,Pampaneira,18151.0,17.46
2019,valor municipio,Pedro Martínez,18152.0,136.82
2019,valor municipio,Peligros,18153.0,10.14
2019,valor municipio,Peza (La),18154.0,101.21
2019,valor municipio,Pinar (El),18910.0,37.98
2019,valor municipio,Pinos Genil,18157.0,13.98
2019,valor municipio,Pinos Puente,18158.0,92.88
2019,valor municipio,Píñar,18159.0,125.63
2019,valor municipio,Polícar,18161.0,5.37
2019,valor municipio,Polopos,18162.0,26.47
2019,valor municipio,Pórtugos,18163.0,20.81
2019,valor municipio,Puebla de Don Fadrique,18164.0,522.94
2019,valor municipio,Pulianas,18165.0,6.33
2019,valor municipio,Purullena,18167.0,21.4
2019,valor municipio,Quéntar,18168.0,66.44
2019,valor municipio,Rubite,18170.0,28.47
2019,valor municipio,Salar,18171.0,84.3
2019,valor municipio,Salobreña,18173.0,34.83
2019,valor municipio,Santa Cruz del Comercio,18174.0,16.88
2019,valor municipio,Santa Fe,18175.0,38.17
2019,valor municipio,Soportújar,18176.0,14.15
2019,valor municipio,Sorvilán,18177.0,34.3
2019,valor municipio,Taha (La),18901.0,25.57
2019,valor municipio,Torre-Cardela,18178.0,15.18
2019,valor municipio,Torrenueva Costa,18916.0,6.46
2019,valor municipio,Torvizcón,18179.0,51.39
2019,valor municipio,Trevélez,18180.0,90.89
2019,valor municipio,Turón,18181.0,55.53
2019,valor municipio,Ugíjar,18182.0,66.9
2019,valor municipio,Valderrubio,18914.0,5.53
2019,valor municipio,Valle (El),18902.0,25.82
2019,valor municipio,Valle del Zalabí,18907.0,108.6
2019,valor municipio,Válor,18183.0,58.52
2019,valor municipio,Vegas del Genil,18911.0,14.14
2019,valor municipio,Vélez de Benaudalla,18184.0,79.05
2019,valor municipio,Ventas de Huelma,18185.0,42.41
2019,valor municipio,Villa de Otura,18149.0,24.32
2019,valor municipio,Villamena,18908.0,20.17
2019,valor municipio,Villanueva de las Torres,18187.0,66.84
2019,valor municipio,Villanueva Mesía,18188.0,11.17
2019,valor municipio,Víznar,18189.0,12.99
2019,valor municipio,Zafarraya,18192.0,57.83
2019,valor municipio,Zagra,18913.0,11.33
2019,valor municipio,Zubia (La),18193.0,20.09
2019,valor municipio,Zújar,18194.0,102.04
2019,valor municipio,Alájar,21001.0,41.53
2019,valor municipio,Aljaraque,21002.0,33.9
2019,valor municipio,Almendro (El),21003.0,171.09
2019,valor municipio,Almonaster la Real,21004.0,321.91
2019,valor municipio,Almonte,21005.0,859.81
2019,valor municipio,Alosno,21006.0,191.53
2019,valor municipio,Aracena,21007.0,184.75
2019,valor municipio,Aroche,21008.0,499.53
2019,valor municipio,Arroyomolinos de León,21009.0,87.07
2019,valor municipio,Ayamonte,21010.0,141.53
2019,valor municipio,Beas,21011.0,144.97
2019,valor municipio,Berrocal,21012.0,126.43
2019,valor municipio,Bollullos Par del Condado,21013.0,49.39
2019,valor municipio,Bonares,21014.0,64.89
2019,valor municipio,Cabezas Rubias,21015.0,108.91
2019,valor municipio,Cala,21016.0,84.04
2019,valor municipio,Calañas,21017.0,238.33
2019,valor municipio,Campillo (El),21018.0,90.88
2019,valor municipio,Campofrío,21019.0,47.06
2019,valor municipio,Cañaveral de León,21020.0,34.81
2019,valor municipio,Cartaya,21021.0,225.65
2019,valor municipio,Castaño del Robledo,21022.0,12.95
2019,valor municipio,Cerro de Andévalo (El),21023.0,286.78
2019,valor municipio,Chucena,21030.0,26.09
2019,valor municipio,Corteconcepción,21024.0,49.21
2019,valor municipio,Cortegana,21025.0,173.42
2019,valor municipio,Cortelazor,21026.0,39.99
2019,valor municipio,Cumbres de Enmedio,21027.0,13.57
2019,valor municipio,Cumbres de San Bartolomé,21028.0,144.85
2019,valor municipio,Cumbres Mayores,21029.0,121.81
2019,valor municipio,Encinasola,21031.0,178.11
2019,valor municipio,Escacena del Campo,21032.0,135.09
2019,valor municipio,Fuenteheridos,21033.0,10.94
2019,valor municipio,Galaroza,21034.0,22.31
2019,valor municipio,Gibraleón,21035.0,329.08
2019,valor municipio,Granada de Río-Tinto (La),21036.0,44.77
2019,valor municipio,Granado (El),21037.0,97.84
2019,valor municipio,Higuera de la Sierra,21038.0,24.52
2019,valor municipio,Hinojales,21039.0,26.75
2019,valor municipio,Hinojos,21040.0,320.34
2019,valor municipio,Huelva,21041.0,151.82
2019,valor municipio,Isla Cristina,21042.0,49.83
2019,valor municipio,Jabugo,21043.0,24.96
2019,valor municipio,Lepe,21044.0,127.7
2019,valor municipio,Linares de la Sierra,21045.0,29.27
2019,valor municipio,Lucena del Puerto,21046.0,69.86
2019,valor municipio,Manzanilla,21047.0,39.69
2019,valor municipio,Marines (Los),21048.0,10.0
2019,valor municipio,Minas de Riotinto,21049.0,23.35
2019,valor municipio,Moguer,21050.0,204.15
2019,valor municipio,Nava (La),21051.0,61.14
2019,valor municipio,Nerva,21052.0,55.48
